0-496: pg mediated inhibition with nc[15][]=0
497-993: pg mediated inhibition with nc[15][]=1
994-1490: gc mediated inhibition 

pg mediated inhibition with nc[15][]=0 
run_ 75 /parameters.hoc:light1_peak_rate = 160
run_ 76 /parameters.hoc:breath_peak_rate = 240
run_ 76 /parameters.hoc:light1_peak_rate = 180
run_ 77 /parameters.hoc:breath_peak_rate = 240
run_ 77 /parameters.hoc:light1_peak_rate = 200
run_ 78 /parameters.hoc:breath_peak_rate = 240
run_ 78 /parameters.hoc:light1_peak_rate = 220
run_ 79 /parameters.hoc:breath_peak_rate = 260
run_ 79 /parameters.hoc:light1_peak_rate = 0
run_ 80 /parameters.hoc:breath_peak_rate = 260
run_ 80 /parameters.hoc:light1_peak_rate = 20
run_ 81 /parameters.hoc:breath_peak_rate = 260
run_ 81 /parameters.hoc:light1_peak_rate = 40
run_ 82 /parameters.hoc:breath_peak_rate = 260
run_ 82 /parameters.hoc:light1_peak_rate = 60
run_ 83 /parameters.hoc:breath_peak_rate = 260
run_ 83 /parameters.hoc:light1_peak_rate = 80
run_ 84 /parameters.hoc:breath_peak_rate = 260
run_ 84 /parameters.hoc:light1_peak_rate = 100
run_ 85 /parameters.hoc:breath_peak_rate = 260
run_ 85 /parameters.hoc:light1_peak_rate = 120
run_ 86 /parameters.hoc:breath_peak_rate = 260
run_ 86 /parameters.hoc:light1_peak_rate = 140
run_ 87 /parameters.hoc:breath_peak_rate = 260
run_ 87 /parameters.hoc:light1_peak_rate = 160
run_ 88 /parameters.hoc:breath_peak_rate = 260
run_ 88 /parameters.hoc:light1_peak_rate = 180
run_ 89 /parameters.hoc:breath_peak_rate = 260
run_ 89 /parameters.hoc:light1_peak_rate = 200
run_ 90 /parameters.hoc:breath_peak_rate = 260
run_ 90 /parameters.hoc:light1_peak_rate = 220
run_ 91 /parameters.hoc:breath_peak_rate = 260
run_ 91 /parameters.hoc:light1_peak_rate = 240
run_ 92 /parameters.hoc:breath_peak_rate = 280
run_ 92 /parameters.hoc:light1_peak_rate = 0
run_ 93 /parameters.hoc:breath_peak_rate = 280
run_ 93 /parameters.hoc:light1_peak_rate = 20
run_ 94 /parameters.hoc:breath_peak_rate = 280
run_ 94 /parameters.hoc:light1_peak_rate = 40
run_ 95 /parameters.hoc:breath_peak_rate = 280
run_ 95 /parameters.hoc:light1_peak_rate = 60
run_ 96 /parameters.hoc:breath_peak_rate = 280
run_ 96 /parameters.hoc:light1_peak_rate = 80
run_ 97 /parameters.hoc:breath_peak_rate = 280
run_ 97 /parameters.hoc:light1_peak_rate = 100
run_ 98 /parameters.hoc:breath_peak_rate = 280
run_ 98 /parameters.hoc:light1_peak_rate = 120
run_ 99 /parameters.hoc:breath_peak_rate = 280
run_ 99 /parameters.hoc:light1_peak_rate = 140
run_ 100 /parameters.hoc:breath_peak_rate = 280
run_ 100 /parameters.hoc:light1_peak_rate = 160
run_ 101 /parameters.hoc:breath_peak_rate = 280
run_ 101 /parameters.hoc:light1_peak_rate = 180
run_ 102 /parameters.hoc:breath_peak_rate = 280
run_ 102 /parameters.hoc:light1_peak_rate = 200
run_ 103 /parameters.hoc:breath_peak_rate = 280
run_ 103 /parameters.hoc:light1_peak_rate = 220
run_ 104 /parameters.hoc:breath_peak_rate = 280
run_ 104 /parameters.hoc:light1_peak_rate = 240
run_ 105 /parameters.hoc:breath_peak_rate = 280
